0.0	3	0	1	2	0	0	1	3	1	3	0	0	0	2	1
0.01	2	0	1	1	0	0	1	2	1	3	0	0	0	1	1
0.02	2	0	1	1	0	0	1	2	1	2	0	0	0	1	1
0.03	2	0	1	1	0	0	1	2	0	2	0	0	0	1	0
0.04	1	0	1	1	0	0	1	1	0	1	0	0	0	1	0
0.05	1	0	1	1	0	0	1	1	0	1	0	0	0	1	0
0.06	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0
0.07	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
0.08	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
0.09	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
0.1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.31	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.32	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
