0	18.163
0.01	14.697
0.02	12.193
0.03	10.08
0.04	8.446
0.05	6.957
0.06	6.026
0.07	5.093
0.08	4.223
0.09	3.796
0.1	3.24
0.11	2.678
0.12	2.449
0.14	2.13
0.15	1.907
0.16	1.747
0.17	1.579
0.18	1.425
0.19	1.37
0.2	1.34
0.21	1.292
0.22	1.256
0.23	1.327
0.24	1.411
0.25	1.503
0.26	1.618
0.27	1.742
0.28	1.985
0.29	2.358
0.3	2.842
0.31	3.524
0.32	4.589
0.33	5.455
0.34	6.17
0.35	6.836
0.36	7.662
0.38	8.085
0.39	8.351
0.4	8.852
0.41	9.152
0.42	9.112
0.43	9.167
0.44	9.202
0.45	9.186
0.46	8.905
0.47	8.963
0.48	8.644
0.49	8.449
0.5	8.168
0.51	8.1
0.52	7.46
0.53	7.223
0.54	7.01
0.55	6.976
0.56	6.919
0.57	7.093
0.58	7.423
0.59	7.568
0.6	7.836
0.61	8.013
0.62	7.894
0.64	7.708
0.65	7.785
0.66	7.868
0.67	7.841
0.68	7.709
0.69	7.57
0.7	7.39
0.71	7.261
0.72	7.019
0.73	6.764
0.74	6.503
0.75	6.195
0.76	6.14
0.77	5.733
0.78	5.599
0.79	5.317
0.8	5.104
0.81	4.986
0.82	4.843
0.83	4.32
0.84	4.038
0.85	3.755
0.86	3.511
0.88	3.298
0.89	2.915
0.9	2.713
0.91	2.488
0.92	2.263
0.93	2.114
0.94	1.919
0.95	1.847
0.96	1.65
0.97	1.636
0.98	1.497
0.99	1.362
1	1.315
1.01	1.32
1.02	1.221
1.03	1.127
1.04	1.124
1.05	1.08
1.06	1.042
1.07	1.016
1.08	0.975
1.09	0.927
1.1	0.906
1.11	0.952
1.12	0.929
1.14	0.869
1.15	0.84
1.16	0.937
1.17	0.893
1.18	0.911
1.19	0.854
1.2	0.817
1.21	0.836
1.22	0.865
1.23	0.878
1.24	0.933
1.25	1.073
1.26	1.114
1.27	1.178
1.28	1.36
1.29	1.626
1.3	2.124
1.31	2.733
1.32	3.667
1.33	4.629
1.34	5.451
1.35	6.012
1.36	6.504
1.38	7.253
1.39	7.64
1.4	7.912
1.41	8.486
1.42	8.383
1.43	8.466
1.44	8.467
1.45	8.429
1.46	8.377
1.47	8.195
1.48	7.925
1.49	7.644
