0.0	0.155	0.066	0.034	0.066	17.36	0.133	0.095	0.022	0.019	0.071	0.031	0.023	0.05	0.016	0.014	0.008
0.01	0.16	0.056	0.031	0.064	13.915	0.138	0.108	0.029	0.026	0.047	0.021	0.029	0.047	0.007	0.007	0.012
0.02	0.134	0.054	0.038	0.068	11.461	0.146	0.089	0.032	0.022	0.041	0.022	0.026	0.04	0.011	0.007	0.002
0.03	0.148	0.056	0.034	0.061	9.298	0.142	0.108	0.027	0.037	0.034	0.028	0.025	0.045	0.013	0.017	0.007
0.04	0.124	0.05	0.033	0.078	7.733	0.126	0.095	0.027	0.015	0.037	0.028	0.022	0.049	0.01	0.011	0.008
0.05	0.129	0.055	0.019	0.073	6.258	0.119	0.086	0.026	0.03	0.042	0.02	0.037	0.038	0.008	0.013	0.004
0.06	0.14	0.048	0.025	0.065	5.313	0.133	0.101	0.023	0.024	0.044	0.029	0.032	0.028	0.009	0.007	0.005
0.07	0.147	0.041	0.029	0.071	4.385	0.123	0.084	0.033	0.014	0.056	0.03	0.022	0.03	0.009	0.017	0.002
0.08	0.133	0.045	0.029	0.064	3.51	0.131	0.093	0.021	0.019	0.039	0.043	0.023	0.041	0.009	0.014	0.009
0.09	0.128	0.046	0.024	0.072	3.11	0.116	0.105	0.029	0.019	0.043	0.028	0.019	0.036	0.009	0.01	0.002
0.1	0.148	0.046	0.027	0.058	2.5	0.137	0.104	0.03	0.02	0.047	0.034	0.03	0.042	0.004	0.013	0.0
0.11	0.121	0.043	0.03	0.05	2.056	0.117	0.072	0.026	0.015	0.04	0.026	0.022	0.04	0.007	0.01	0.003
0.12	0.127	0.053	0.017	0.066	1.77	0.136	0.092	0.034	0.009	0.039	0.021	0.031	0.027	0.012	0.006	0.009
0.14	0.125	0.045	0.033	0.051	1.453	0.123	0.097	0.03	0.014	0.039	0.017	0.032	0.04	0.011	0.014	0.006
0.15	0.13	0.043	0.026	0.057	1.241	0.128	0.077	0.026	0.025	0.05	0.021	0.033	0.038	0.006	0.005	0.001
0.16	0.13	0.043	0.029	0.065	1.045	0.146	0.075	0.016	0.016	0.046	0.034	0.034	0.049	0.013	0.002	0.004
0.17	0.102	0.061	0.024	0.058	0.935	0.136	0.073	0.032	0.018	0.04	0.022	0.019	0.04	0.004	0.012	0.003
0.18	0.14	0.069	0.02	0.058	0.779	0.106	0.067	0.018	0.022	0.048	0.026	0.026	0.025	0.011	0.008	0.002
0.19	0.121	0.054	0.022	0.067	0.692	0.132	0.092	0.025	0.017	0.028	0.029	0.027	0.044	0.008	0.008	0.004
0.2	0.136	0.043	0.028	0.065	0.63	0.145	0.086	0.031	0.019	0.054	0.02	0.025	0.034	0.006	0.011	0.007
0.21	0.135	0.037	0.026	0.06	0.6	0.129	0.081	0.029	0.024	0.042	0.033	0.026	0.046	0.008	0.014	0.002
0.22	0.123	0.043	0.023	0.053	0.569	0.131	0.076	0.029	0.031	0.039	0.026	0.033	0.045	0.014	0.017	0.004
0.23	0.135	0.051	0.027	0.061	0.626	0.138	0.082	0.015	0.038	0.051	0.022	0.029	0.032	0.004	0.011	0.005
0.24	0.144	0.052	0.029	0.069	0.65	0.169	0.069	0.026	0.031	0.041	0.032	0.034	0.043	0.008	0.005	0.009
0.25	0.15	0.074	0.039	0.08	0.661	0.161	0.082	0.025	0.049	0.047	0.036	0.025	0.041	0.014	0.014	0.005
0.26	0.14	0.081	0.034	0.077	0.698	0.188	0.093	0.028	0.032	0.065	0.046	0.044	0.057	0.014	0.014	0.007
0.27	0.162	0.101	0.043	0.097	0.736	0.191	0.107	0.035	0.034	0.061	0.036	0.047	0.054	0.012	0.019	0.007
0.28	0.226	0.12	0.052	0.107	0.756	0.193	0.135	0.047	0.052	0.082	0.042	0.06	0.059	0.008	0.03	0.016
0.29	0.237	0.128	0.064	0.162	0.885	0.265	0.135	0.07	0.053	0.076	0.055	0.074	0.108	0.011	0.025	0.01
0.3	0.3	0.196	0.1	0.203	0.876	0.284	0.227	0.092	0.073	0.12	0.111	0.075	0.12	0.026	0.024	0.015
0.31	0.426	0.264	0.107	0.294	0.858	0.336	0.319	0.169	0.085	0.156	0.132	0.099	0.165	0.042	0.049	0.023
0.32	0.506	0.343	0.136	0.422	0.915	0.42	0.636	0.213	0.151	0.186	0.145	0.142	0.213	0.055	0.066	0.04
0.33	0.578	0.472	0.163	0.511	0.851	0.505	0.813	0.291	0.176	0.232	0.192	0.19	0.275	0.087	0.065	0.054
0.34	0.667	0.655	0.219	0.627	0.8	0.504	0.959	0.328	0.183	0.249	0.206	0.209	0.323	0.096	0.082	0.063
0.35	0.822	0.757	0.246	0.786	0.702	0.566	1.043	0.309	0.199	0.31	0.232	0.227	0.348	0.121	0.105	0.063
0.36	0.886	0.982	0.245	0.868	0.706	0.656	1.166	0.359	0.238	0.311	0.305	0.227	0.42	0.1	0.119	0.074
0.38	0.904	1.104	0.295	0.918	0.677	0.599	1.226	0.403	0.262	0.356	0.327	0.312	0.383	0.12	0.116	0.083
