0	17
0.01	31
0.02	43
0.03	54
0.04	62
0.05	69
0.06	74
0.07	80
0.08	83
0.09	87
0.1	92
0.11	95
0.12	98
0.14	99
0.15	100
0.16	101
0.17	103
0.18	105
0.19	110
0.2	111
0.21	112
0.22	113
0.23	113
0.24	116
0.25	117
0.26	119
0.27	120
0.28	123
0.29	124
0.3	126
0.31	130
0.32	133
0.33	139
0.34	148
0.35	155
0.36	160
0.38	169
0.39	179
0.4	186
0.41	194
0.42	204
0.43	214
0.44	224
0.45	234
0.46	241
0.47	251
0.48	257
0.49	265
0.5	275
0.51	283
0.52	291
0.53	296
0.54	307
0.55	312
0.56	320
0.57	324
0.58	333
0.59	340
0.6	348
0.61	357
0.62	364
0.64	372
0.65	382
0.66	388
0.67	395
0.68	403
0.69	411
0.7	416
0.71	427
0.72	433
0.73	441
0.74	447
0.75	454
0.76	457
0.77	462
0.78	473
0.79	476
0.8	480
0.81	485
0.82	488
0.83	493
0.84	499
0.85	503
0.86	507
0.88	509
0.89	513
0.9	514
0.91	516
0.92	518
0.93	520
0.94	523
0.95	527
0.96	527
0.97	530
0.98	532
0.99	533
1	534
1.01	534
1.02	534
1.03	536
1.04	536
1.05	539
1.06	541
1.07	543
1.08	543
1.09	543
1.1	544
1.11	545
1.12	546
1.14	546
1.15	547
1.16	549
1.17	550
1.18	552
1.19	552
1.2	553
1.21	553
1.22	554
1.23	554
1.24	556
1.25	556
1.26	556
1.27	559
1.28	561
1.29	561
1.3	563
1.31	565
1.32	570
1.33	574
1.34	580
1.35	583
1.36	593
1.38	601
1.39	608
1.4	617
1.41	624
1.42	633
1.43	641
1.44	650
1.45	655
1.46	666
1.47	675
1.48	680
1.49	689
1.5	698
1.51	704
1.52	711
1.53	718
1.54	722
1.55	731
1.56	737
1.57	743
1.58	751
1.59	757
1.6	764
1.61	772
1.62	779
1.64	787
1.65	799
1.66	806
1.67	814
1.68	823
1.69	829
1.7	836
1.71	845
1.72	857
1.73	867
1.74	881
1.75	894
1.76	907
1.77	918
1.78	930
1.79	942
1.8	954
1.81	966
1.82	980
1.83	994
